1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"(20, '199704270LAL')","(11, '199804230PHO')","(17, '199905150HOU')","(11, '200004220SAS')","(17, '200105030UTA')","(19, '200204240DAL')","(17, '200304230PHI')","(8, '200404170LAL')","(22, '200505040CHI')","(19, '200604290IND')","(22, '200704270GSW')","(39, '200804240WAS')","(21, '200904270MIA')","(21, '201004270BOS')","(10, '201104170SAS')","(12, '201205080ATL')","(19, '201304290BRK')","(9, '201404250WAS')","(25, '201504180GSW')","(20, '201604220BOS')","(11, '201704260WAS')","(17, '201804200IND')","(36, '201904180LAC')","(38, '202008240POR')","(22, '202106010DEN')","(12, '202204160DAL')","(32, '202304160DEN')","(15, '202404250PHI')"
"(31, '199704300POR')","(16, '199804250PHO')","(12, '199905080POR')","(15, '200004250SAS')","(20, '200104220LAL')","(20, '200204280MIN')","(17, '200304260NOH')","(17, '200404190LAL')","(10, '200505060WAS')","(11, '200605020NJN')","(9, '200704290GSW')","(15, '200804270WAS')","(23, '200904290ATL')","(17, '201004180LAL')","(8, '201104200SAS')","(10, '201205100BOS')","(10, '201305020CHI')","(23, '201404270WAS')","(13, '201504200GSW')","(16, '201604240BOS')","(22, '201704280ATL')","(16, '201804220IND')","(12, '201904210LAC')","(15, '202008290LAL')","(14, '202106030POR')","(10, '202204180DAL')","(21, '202304190DEN')","(12, '202404280PHI')"
"(9, '199705020POR')","(19, '199804270SAS')","(18, '199905100POR')","(12, '200004290PHO')","(25, '200104260LAL')","(12, '200204210LAL')","(14, '200304280NOH')","(16, '200404230HOU')","(19, '200504230DAL')","(12, '200605040IND')","(21, '200705010DAL')","(7, '200804300CLE')","(30, '200905010MIA')","(11, '201004200LAL')","(15, '201104230MEM')","(17, '201204290SAS')","(17, '201305040BRK')","(12, '201404290CHI')","(20, '201504230NOP')","(34, '201604260ATL')","(16, '201704160GSW')","(12, '201804250CLE')","(15, '201904240GSW')","(16, '202008170LAC')","(11, '202105230PHI')","(17, '202204210UTA')","(13, '202304210MIN')","(10, '202404300NYK')"
"(10, '199704250SEA')","(27, '199804290SAS')","(18, '199905120PHO')","(14, '200005020PHO')","(15, '200104290POR')","(21, '200204250LAL')","(10, '200304300PHI')","(14, '200404250HOU')","(8, '200504250DAL')","(18, '200604230DAL')","(28, '200705030GSW')","(25, '200805020WAS')","(29, '200905030ATL')","(12, '201004220OKC')","(24, '201104250MEM')","(38, '201205020SAS')","(35, '201304210OKC')","(12, '201404200SAS')","(24, '201504250NOP')","(28, '201604280BOS')","(34, '201704190GSW')","(36, '201804270IND')","(26, '201904260LAC')","(18, '202008190LAC')","(27, '202105260PHI')","(16, '202204230UTA')","(12, '202304230MIN')","(22, '202405020PHI')"
"(44, '199704270SEA')","(29, '199804240SEA')","(17, '199905090SAS')","(11, '200004230POR')","(9, '200104220SAC')","(9, '200204280POR')","(13, '200305020NOH')","(26, '200404280LAL')","(12, '200504280HOU')","(20, '200604260DAL')","(12, '200704220PHO')","(19, '200804200LAL')","(22, '200904190LAL')","(29, '201004240OKC')","(16, '201104270SAS')","(13, '201205050UTA')","(15, '201304240OKC')","(24, '201404230SAS')","(15, '201504180HOU')","(29, '201604160GSW')","(17, '201704220POR')","(14, '201804290CLE')","(12, '201904130DEN')","(18, '202008210DAL')","(31, '202105290WAS')","(33, '202204250DAL')","(15, '202304250DEN')","(10, '202404210OKC')"
"(15, '199704290PHO')","(10, '199804260SEA')","(11, '199905110SAS')","(10, '200004260POR')","(34, '200104250SAC')","(10, '200204200SAC')","(13, '200304190DAL')","(22, '200404180MIN')","(9, '200504300HOU')","(10, '200604290MEM')","(32, '200704240PHO')","(19, '200804230LAL')","(20, '200904210LAL')","(32, '201004270LAL')","(14, '201104290MEM')","(21, '201205070UTA')","(26, '201304270HOU')","(9, '201404260DAL')","(15, '201504210HOU')","(16, '201604180GSW')","(33, '201704240POR')","(11, '201804150HOU')","(19, '201904160DEN')","(21, '202008230DAL')","(14, '202105310WAS')","(12, '202204280UTA')","(16, '202304160PHO')","(34, '202404240OKC')"
"(15, '199705010PHO')","(15, '199804280MIN')","(23, '199905130MIN')","(9, '200004300MIN')","(17, '200104290PHO')","(18, '200204230SAC')","(10, '200304230DAL')","(20, '200404210MIN')","(11, '200505020DAL')","(30, '200605010MEM')","(17, '200704260LAL')","(24, '200804260DEN')","(13, '200904230UTA')","(9, '201004300OKC')","(12, '201104170LAL')","(8, '201204280OKC')","(13, '201304290HOU')","(20, '201404280DAL')","(13, '201504240DAL')","(17, '201604210HOU')","(36, '201704150SAS')","(27, '201804180HOU')","(20, '201904180SAS')","(45, '202008250LAC')","(21, '202106020PHI')","(24, '202204160PHI')","(14, '202304180PHO')","(24, '202404270NOP')"
"(25, '199705030SEA')","(14, '199804300MIN')","(12, '199905150MIN')","(13, '200005020MIN')","(19, '200105020PHO')","(13, '200204270UTA')","(14, '200304250POR')","(23, '200404240DEN')","(21, '200505050HOU')","(16, '200604220LAC')","(20, '200704290LAL')","(13, '200804280DEN')","(24, '200904250UTA')","(12, '201004180DAL')","(15, '201104200LAL')","(16, '201204300OKC')","(16, '201305010OKC')","(13, '201404300SAS')","(24, '201504260DAL')","(31, '201604240HOU')","(26, '201704170SAS')","(19, '201804210MIN')","(19, '201904200SAS')","(23, '202008300DAL')","(17, '202105230UTA')","(29, '202204180PHI')","(13, '202304200LAC')","(11, '202404290NOP')"
"(21, '199704240UTA')","(13, '199805020SEA')","(30, '199905080UTA')","(17, '200004220UTA')","(14, '200104210SAS')","(12, '200204290UTA')","(24, '200304270POR')","(9, '200404270DEN')","(40, '200505070DAL')","(25, '200604240LAC')","(16, '200705020PHO')","(15, '200804190NOH')","(22, '200904270LAL')","(20, '201004210DAL')","(18, '201104220NOH')","(26, '201205030DAL')","(15, '201305030HOU')","(11, '201405020DAL')","(14, '201504280HOU')","(34, '201604270GSW')","(22, '201704200MEM')","(35, '201804230MIN')","(30, '201904230DEN')","(12, '202008170DEN')","(22, '202105260UTA')","(17, '202204200TOR')","(13, '202304220LAC')","(29, '202404210LAC')"
"(16, '199704260UTA')","(22, '199804230UTA')","(13, '199905100UTA')","(34, '200004240UTA')","(28, '200104230SAS')","(33, '200204200SAS')","(10, '200304300DAL')","(26, '200404300MIN')","(16, '200504240PHO')","(11, '200604270DEN')","(10, '200704220SAS')","(28, '200804220NOH')","(34, '200904190DEN')","(9, '201004230SAS')","(9, '201104240NOH')","(13, '201205050DAL')","(16, '201304210SAS')","(31, '201405040SAS')","(20, '201504190LAC')","(36, '201604170SAS')","(10, '201704220MEM')","(20, '201804250HOU')","(21, '201904250SAS')","(31, '202008190DEN')","(15, '202105290MEM')","(14, '202204230TOR')","(20, '202304250PHO')","(9, '202404230LAC')"
"(23, '199704280LAC')","(23, '199804250UTA')","(16, '199905120SAC')","(21, '200004290SEA')","(11, '200104280MIN')","(14, '200204220SAS')","(32, '200305020POR')","(15, '200404180SAC')","(10, '200504270PHO')","(23, '200604290DEN')","(17, '200704250SAS')","(17, '200804250DAL')","(23, '200904220DEN')","(15, '201004250SAS')","(18, '201104260LAL')","(21, '201204290LAL')","(17, '201304240SAS')","(25, '201404190OKC')","(10, '201504220LAC')","(28, '201604190SAS')","(18, '201704250SAS')","(28, '201804140GSW')","(17, '201904270DEN')","(39, '202008210UTA')","(13, '202105310MEM')","(19, '202204250PHI')","(10, '202304150SAC')","(21, '202404260DAL')"
"(16, '199705060CHI')","(13, '199804290HOU')","(9, '199905140SAC')","(17, '200005030SEA')","(15, '200104300MIN')","(32, '200204270SEA')","(12, '200305040DAL')","(9, '200404200SAC')","(22, '200504290MEM')","(25, '200605010LAC')","(11, '200704280DEN')","(19, '200804270DAL')","(16, '200904250NOH')","(26, '201004270DAL')","(21, '201104280NOH')","(19, '201205010LAL')","(33, '201304260LAL')","(10, '201404210OKC')","(37, '201504240SAS')","(13, '201604220MEM')","(10, '201704270MEM')","(19, '201804160GSW')","(19, '201904140POR')","(11, '202008230UTA')","(35, '202106020UTA')","(35, '202204280TOR')","(14, '202304170SAC')","(31, '202404280DAL')"
"(16, '199705080CHI')","(24, '199805010HOU')","(13, '199905160UTA')","(13, '200005050UTA')","(22, '200105060MIL')","(28, '200205010SEA')","(21, '200304200MIN')","(29, '200404240DAL')","(21, '200505010MEM')","(14, '200604230PHO')","(10, '200704300DEN')","(17, '200804290NOH')","(58, '200904270NOH')","(22, '201004290SAS')","(10, '201104160DAL')","(24, '201205040DEN')","(25, '201304280LAL')","(17, '201404240MEM')","(14, '201504260SAS')","(25, '201604240MEM')","(33, '201704160HOU')","(19, '201804190SAS')","(22, '201904160POR')","(15, '202008250DEN')","(11, '202105230NYK')","(23, '202204170PHO')","(23, '202304200GSW')","(32, '202405010LAC')"
"(20, '199705100ATL')","(14, '199805030UTA')","(13, '199905170IND')","(20, '200005060IND')","(16, '200105080MIL')","(33, '200205030SAS')","(30, '200304220MIN')","(8, '200404260DAL')","(9, '200504240SAS')","(17, '200604260PHO')","(17, '200705020SAS')","(16, '200804190SAS')","(24, '200904290DEN')","(9, '201004180PHO')","(13, '201104190DAL')","(7, '201205060DEN')","(9, '201304200DEN')","(14, '201404260MEM')","(14, '201504280LAC')","(44, '201604160OKC')","(15, '201704190HOU')","(17, '201804220SAS')","(16, '201904190OKC')","(14, '202008300UTA')","(15, '202105260NYK')","(11, '202204190PHO')","(10, '202304230GSW')","(24, '202405030DAL')"
