1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"(9, '199704270LAL')","(11, '199804230PHO')","(4, '199905150HOU')","(11, '200004220SAS')","(17, '200105030UTA')","(5, '200204240DAL')","(4, '200304230PHI')","(8, '200404170LAL')","(22, '200505040CHI')","(2, '200604290IND')","(4, '200704270GSW')","(2, '200804240WAS')","(0, '200904270MIA')","(4, '201004270BOS')","(10, '201104170SAS')","(12, '201205080ATL')","(7, '201304290BRK')","(9, '201404250WAS')","(4, '201504180GSW')","(20, '201604220BOS')","(11, '201704260WAS')","(17, '201804200IND')","(0, '201904180LAC')","(0, '202008240POR')","(22, '202106010DEN')","(9, '202204160DAL')","(8, '202304160DEN')","(5, '202404250PHI')"
"(0, '199704300POR')","(8, '199804250PHO')","(7, '199905080POR')","(6, '200004250SAS')","(13, '200104220LAL')","(0, '200204280MIN')","(6, '200304260NOH')","(8, '200404190LAL')","(10, '200505060WAS')","(11, '200605020NJN')","(9, '200704290GSW')","(15, '200804270WAS')","(4, '200904290ATL')","(4, '201004180LAL')","(8, '201104200SAS')","(10, '201205100BOS')","(5, '201305020CHI')","(0, '201404270WAS')","(13, '201504200GSW')","(16, '201604240BOS')","(5, '201704280ATL')","(16, '201804220IND')","(11, '201904210LAC')","(14, '202008290LAL')","(14, '202106030POR')","(10, '202204180DAL')","(21, '202304190DEN')","(12, '202404280PHI')"
"(9, '199705020POR')","(9, '199804270SAS')","(0, '199905100POR')","(12, '200004290PHO')","(9, '200104260LAL')","(9, '200204210LAL')","(7, '200304280NOH')","(5, '200404230HOU')","(5, '200504230DAL')","(6, '200605040IND')","(21, '200705010DAL')","(7, '200804300CLE')","(5, '200905010MIA')","(11, '201004200LAL')","(15, '201104230MEM')","(5, '201204290SAS')","(5, '201305040BRK')","(12, '201404290CHI')","(20, '201504230NOP')","(10, '201604260ATL')","(8, '201704160GSW')","(12, '201804250CLE')","(15, '201904240GSW')","(16, '202008170LAC')","(10, '202105230PHI')","(3, '202204210UTA')","(7, '202304210MIN')","(10, '202404300NYK')"
"(10, '199704250SEA')","(6, '199804290SAS')","(18, '199905120PHO')","(13, '200005020PHO')","(6, '200104290POR')","(2, '200204250LAL')","(10, '200304300PHI')","(14, '200404250HOU')","(8, '200504250DAL')","(6, '200604230DAL')","(9, '200705030GSW')","(8, '200805020WAS')","(6, '200905030ATL')","(12, '201004220OKC')","(7, '201104250MEM')","(2, '201205020SAS')","(13, '201304210OKC')","(12, '201404200SAS')","(4, '201504250NOP')","(4, '201604280BOS')","(5, '201704190GSW')","(6, '201804270IND')","(10, '201904260LAC')","(0, '202008190LAC')","(5, '202105260PHI')","(16, '202204230UTA')","(12, '202304230MIN')","(22, '202405020PHI')"
"(0, '199704270SEA')","(0, '199804240SEA')","(6, '199905090SAS')","(11, '200004230POR')","(7, '200104220SAC')","(9, '200204280POR')","(13, '200305020NOH')","(9, '200404280LAL')","(11, '200504280HOU')","(4, '200604260DAL')","(12, '200704220PHO')","(10, '200804200LAL')","(4, '200904190LAL')","(3, '201004240OKC')","(16, '201104270SAS')","(6, '201205050UTA')","(15, '201304240OKC')","(7, '201404230SAS')","(15, '201504180HOU')","(0, '201604160GSW')","(17, '201704220POR')","(14, '201804290CLE')","(4, '201904130DEN')","(6, '202008210DAL')","(2, '202105290WAS')","(4, '202204250DAL')","(15, '202304250DEN')","(10, '202404210OKC')"
"(15, '199704290PHO')","(10, '199804260SEA')","(5, '199905110SAS')","(10, '200004260POR')","(4, '200104250SAC')","(10, '200204200SAC')","(13, '200304190DAL')","(4, '200404180MIN')","(9, '200504300HOU')","(10, '200604290MEM')","(5, '200704240PHO')","(12, '200804230LAL')","(2, '200904210LAL')","(0, '201004270LAL')","(14, '201104290MEM')","(7, '201205070UTA')","(26, '201304270HOU')","(9, '201404260DAL')","(7, '201504210HOU')","(10, '201604180GSW')","(0, '201704240POR')","(11, '201804150HOU')","(19, '201904160DEN')","(21, '202008230DAL')","(14, '202105310WAS')","(12, '202204280UTA')","(16, '202304160PHO')","(5, '202404240OKC')"
"(15, '199705010PHO')","(11, '199804280MIN')","(5, '199905130MIN')","(9, '200004300MIN')","(17, '200104290PHO')","(6, '200204230SAC')","(10, '200304230DAL')","(4, '200404210MIN')","(8, '200505020DAL')","(4, '200605010MEM')","(17, '200704260LAL')","(6, '200804260DEN')","(13, '200904230UTA')","(9, '201004300OKC')","(12, '201104170LAL')","(8, '201204280OKC')","(13, '201304290HOU')","(20, '201404280DAL')","(13, '201504240DAL')","(17, '201604210HOU')","(13, '201704150SAS')","(9, '201804180HOU')","(10, '201904180SAS')","(7, '202008250LAC')","(7, '202106020PHI')","(3, '202204160PHI')","(13, '202304180PHO')","(5, '202404270NOP')"
"(2, '199705030SEA')","(14, '199804300MIN')","(12, '199905150MIN')","(13, '200005020MIN')","(19, '200105020PHO')","(13, '200204270UTA')","(12, '200304250POR')","(0, '200404240DEN')","(10, '200505050HOU')","(16, '200604220LAC')","(9, '200704290LAL')","(13, '200804280DEN')","(7, '200904250UTA')","(8, '201004180DAL')","(9, '201104200LAL')","(16, '201204300OKC')","(8, '201305010OKC')","(13, '201404300SAS')","(12, '201504260DAL')","(10, '201604240HOU')","(2, '201704170SAS')","(11, '201804210MIN')","(12, '201904200SAS')","(7, '202008300DAL')","(14, '202105230UTA')","(9, '202204180PHI')","(6, '202304200LAC')","(5, '202404290NOP')"
"(14, '199704240UTA')","(12, '199805020SEA')","(0, '199905080UTA')","(8, '200004220UTA')","(14, '200104210SAS')","(12, '200204290UTA')","(6, '200304270POR')","(7, '200404270DEN')","(3, '200505070DAL')","(2, '200604240LAC')","(0, '200705020PHO')","(12, '200804190NOH')","(4, '200904270LAL')","(0, '201004210DAL')","(4, '201104220NOH')","(0, '201205030DAL')","(11, '201305030HOU')","(11, '201405020DAL')","(3, '201504280HOU')","(0, '201604270GSW')","(6, '201704200MEM')","(7, '201804230MIN')","(5, '201904230DEN')","(12, '202008170DEN')","(3, '202105260UTA')","(17, '202204200TOR')","(11, '202304220LAC')","(3, '202404210LAC')"
"(16, '199704260UTA')","(5, '199804230UTA')","(13, '199905100UTA')","(8, '200004240UTA')","(3, '200104230SAS')","(8, '200204200SAS')","(10, '200304300DAL')","(0, '200404300MIN')","(5, '200504240PHO')","(11, '200604270DEN')","(9, '200704220SAS')","(2, '200804220NOH')","(3, '200904190DEN')","(9, '201004230SAS')","(9, '201104240NOH')","(13, '201205050DAL')","(2, '201304210SAS')","(2, '201405040SAS')","(12, '201504190LAC')","(2, '201604170SAS')","(10, '201704220MEM')","(10, '201804250HOU')","(10, '201904250SAS')","(9, '202008190DEN')","(15, '202105290MEM')","(12, '202204230TOR')","(10, '202304250PHO')","(8, '202404230LAC')"
